Predicted Price,Date
477.4283447265625,2001-09-24
476.45672607421875,2001-09-25
474.6393737792969,2001-09-26
471.4913635253906,2001-09-27
472.15087890625,2001-09-28
469.0627136230469,2001-10-01
464.4103088378906,2001-10-02
462.8038330078125,2001-10-03
462.3786315917969,2001-10-04
462.05718994140625,2001-10-05
461.6016540527344,2001-10-08
462.46917724609375,2001-10-09
462.99957275390625,2001-10-10
462.15643310546875,2001-10-11
460.8621826171875,2001-10-12
459.5509033203125,2001-10-15
454.8158874511719,2001-10-16
450.6186828613281,2001-10-17
449.6586608886719,2001-10-18
450.5877380371094,2001-10-19
449.65753173828125,2001-10-22
446.5666198730469,2001-10-23
445.0162658691406,2001-10-24
444.4331970214844,2001-10-25
445.05511474609375,2001-10-26
446.7821044921875,2001-10-29
446.5475769042969,2001-10-30
446.9996032714844,2001-10-31
448.5296936035156,2001-11-01
448.1217956542969,2001-11-02
449.9161682128906,2001-11-05
450.14300537109375,2001-11-06
450.4334411621094,2001-11-07
450.27593994140625,2001-11-08
452.7045593261719,2001-11-09
452.6336975097656,2001-11-12
454.6641540527344,2001-11-13
456.7225036621094,2001-11-14
456.9203186035156,2001-11-15
458.33526611328125,2001-11-16
458.6346740722656,2001-11-19
461.2769470214844,2001-11-20
462.2825012207031,2001-11-21
460.9563293457031,2001-11-23
461.4684753417969,2001-11-26
461.8540344238281,2001-11-27
458.02703857421875,2001-11-28
456.9768371582031,2001-11-29
453.9067687988281,2001-11-30
453.75634765625,2001-12-03
456.49359130859375,2001-12-04
457.8981018066406,2001-12-05
457.4771423339844,2001-12-06
456.9968566894531,2001-12-07
455.6236267089844,2001-12-10
456.9621887207031,2001-12-11
456.531982421875,2001-12-12
454.0070495605469,2001-12-13
451.5924072265625,2001-12-14
451.4676818847656,2001-12-17
452.33197021484375,2001-12-18
452.5288391113281,2001-12-19
450.8139953613281,2001-12-20
451.4425964355469,2001-12-21
451.9079895019531,2001-12-24
451.9328918457031,2001-12-27
449.36077880859375,2001-12-28
448.1301574707031,2001-12-31
446.3205871582031,2002-01-02
445.1585693359375,2002-01-03
443.4177551269531,2002-01-04
444.6347961425781,2002-01-07
445.9022216796875,2002-01-08
447.9610290527344,2002-01-09
450.82794189453125,2002-01-10
453.33447265625,2002-01-11
453.63836669921875,2002-01-14
456.95111083984375,2002-01-15
458.1177673339844,2002-01-16
458.2525939941406,2002-01-17
460.6885681152344,2002-01-18
461.320068359375,2002-01-22
460.20361328125,2002-01-23
456.4835510253906,2002-01-24
453.1492614746094,2002-01-25
453.5577392578125,2002-01-28
449.94610595703125,2002-01-29
449.6468505859375,2002-01-30
448.2030029296875,2002-01-31
448.1490783691406,2002-02-01
448.8251647949219,2002-02-04
448.5054626464844,2002-02-05
449.9575500488281,2002-02-06
450.5064697265625,2002-02-07
448.83612060546875,2002-02-08
449.6049499511719,2002-02-11
448.85699462890625,2002-02-12
449.2808837890625,2002-02-13
451.19866943359375,2002-02-14
453.2242431640625,2002-02-15
452.5694885253906,2002-02-19
452.96185302734375,2002-02-20
453.3251037597656,2002-02-21
455.9258117675781,2002-02-22
456.650634765625,2002-02-25
456.223876953125,2002-02-26
453.74273681640625,2002-02-27
453.34539794921875,2002-02-28
455.0525207519531,2002-03-01
453.4670715332031,2002-03-04
455.5609436035156,2002-03-05
456.141845703125,2002-03-06
458.6649169921875,2002-03-07
459.9810485839844,2002-03-08
460.7176513671875,2002-03-11
463.3782958984375,2002-03-12
464.65716552734375,2002-03-13
464.3729553222656,2002-03-14
464.39013671875,2002-03-15
470.1816711425781,2002-03-18
474.08343505859375,2002-03-19
470.4053955078125,2002-03-20
470.188720703125,2002-03-21
467.7794494628906,2002-03-22
467.8042297363281,2002-03-25
469.8729553222656,2002-03-26
470.0205993652344,2002-03-27
472.54034423828125,2002-03-28
475.4004211425781,2002-04-01
477.5400695800781,2002-04-02
478.93115234375,2002-04-03
477.4048156738281,2002-04-04
471.7680969238281,2002-04-05
468.8541259765625,2002-04-08
469.6430969238281,2002-04-09
467.732666015625,2002-04-10
468.3213195800781,2002-04-11
467.8799743652344,2002-04-12
466.8411560058594,2002-04-15
467.4034729003906,2002-04-16
466.8238830566406,2002-04-17
469.8468017578125,2002-04-18
474.2066955566406,2002-04-19
475.31561279296875,2002-04-22
476.30523681640625,2002-04-23
475.8114013671875,2002-04-24
478.8300476074219,2002-04-25
480.3889465332031,2002-04-26
478.057861328125,2002-04-29
473.7024230957031,2002-04-30
470.3410339355469,2002-05-01
469.21917724609375,2002-05-02
468.3446960449219,2002-05-03
467.3309020996094,2002-05-06
465.952392578125,2002-05-07
467.4720153808594,2002-05-08
471.0572509765625,2002-05-09
475.20721435546875,2002-05-10
474.2435302734375,2002-05-13
478.37371826171875,2002-05-14
478.36083984375,2002-05-15
480.0841064453125,2002-05-16
482.79705810546875,2002-05-17
485.8250427246094,2002-05-20
487.4905700683594,2002-05-21
490.7240905761719,2002-05-22
492.01214599609375,2002-05-23
492.6405029296875,2002-05-24
490.8715515136719,2002-05-28
491.10784912109375,2002-05-29
494.82208251953125,2002-05-30
496.1361999511719,2002-05-31
500.37921142578125,2002-06-03
503.0669250488281,2002-06-04
504.1325988769531,2002-06-05
506.9432678222656,2002-06-06
510.0566711425781,2002-06-07
509.6057434082031,2002-06-10
504.3392028808594,2002-06-11
500.6331481933594,2002-06-12
498.7339782714844,2002-06-13
496.0682373046875,2002-06-14
498.2388000488281,2002-06-17
496.7613220214844,2002-06-18
496.7598571777344,2002-06-19
493.8562316894531,2002-06-20
491.87017822265625,2002-06-21
490.8627014160156,2002-06-24
497.69781494140625,2002-06-25
502.6658020019531,2002-06-26
503.5334777832031,2002-06-27
509.9232482910156,2002-06-28
519.1309814453125,2002-07-01
533.052490234375,2002-07-02
542.381103515625,2002-07-03
542.4463500976562,2002-07-05
551.969482421875,2002-07-08
560.3033447265625,2002-07-09
570.0513916015625,2002-07-10
577.2443237304688,2002-07-11
578.1043090820312,2002-07-12
572.0675048828125,2002-07-15
560.1719970703125,2002-07-16
567.7632446289062,2002-07-17
570.5028686523438,2002-07-18
569.116943359375,2002-07-19
566.4351806640625,2002-07-22
576.37060546875,2002-07-23
584.5186157226562,2002-07-24
575.0543212890625,2002-07-25
570.8921508789062,2002-07-26
560.63671875,2002-07-29
539.6807250976562,2002-07-30
533.0393676757812,2002-07-31
543.6677856445312,2002-08-01
561.9656982421875,2002-08-02
561.8338012695312,2002-08-05
550.4160766601562,2002-08-06
552.239501953125,2002-08-07
554.2371215820312,2002-08-08
553.6654663085938,2002-08-09
554.2981567382812,2002-08-12
575.6143188476562,2002-08-13
584.4463500976562,2002-08-14
585.3782958984375,2002-08-15
585.647216796875,2002-08-16
581.7177734375,2002-08-19
571.1790771484375,2002-08-20
558.110107421875,2002-08-21
548.2709350585938,2002-08-22
546.1210327148438,2002-08-23
543.1651611328125,2002-08-26
546.8433227539062,2002-08-27
549.6743774414062,2002-08-28
555.2468872070312,2002-08-29
553.7493896484375,2002-08-30
551.1969604492188,2002-09-03
556.2741088867188,2002-09-04
555.5252075195312,2002-09-05
557.9769897460938,2002-09-06
559.0711059570312,2002-09-09
561.5131225585938,2002-09-10
570.806640625,2002-09-11
575.3776245117188,2002-09-12
571.9937744140625,2002-09-13
567.8504638671875,2002-09-16
561.248046875,2002-09-17
564.4241333007812,2002-09-18
565.7918701171875,2002-09-19
563.8098754882812,2002-09-20
558.2517700195312,2002-09-23
554.757080078125,2002-09-24
550.676513671875,2002-09-25
553.5718383789062,2002-09-26
554.7521362304688,2002-09-27
557.4071044921875,2002-09-30
551.7971801757812,2002-10-01
542.3700561523438,2002-10-02
537.2237548828125,2002-10-03
534.0499877929688,2002-10-04
533.650390625,2002-10-07
534.1605224609375,2002-10-08
534.0003662109375,2002-10-09
529.5406494140625,2002-10-10
522.6175537109375,2002-10-11
522.5380249023438,2002-10-14
524.6058349609375,2002-10-15
530.0759887695312,2002-10-16
539.9688720703125,2002-10-17
542.1422729492188,2002-10-18
544.0770874023438,2002-10-21
543.07958984375,2002-10-22
542.8443603515625,2002-10-23
543.5449829101562,2002-10-24
547.99951171875,2002-10-25
550.7108154296875,2002-10-28
547.35302734375,2002-10-29
544.700927734375,2002-10-30
550.0867919921875,2002-10-31
552.8989868164062,2002-11-01
557.9368896484375,2002-11-04
561.6083374023438,2002-11-05
567.5887451171875,2002-11-06
570.6635131835938,2002-11-07
572.1857299804688,2002-11-08
565.42578125,2002-11-11
559.7493286132812,2002-11-12
566.7745361328125,2002-11-13
563.4223022460938,2002-11-14
560.2314453125,2002-11-15
559.2349243164062,2002-11-18
557.7941284179688,2002-11-19
560.7052612304688,2002-11-20
566.0374755859375,2002-11-21
566.7759399414062,2002-11-22
563.6217041015625,2002-11-25
564.0279541015625,2002-11-26
565.0964965820312,2002-11-27
567.2266235351562,2002-11-29
571.0672607421875,2002-12-02
572.8833618164062,2002-12-03
568.4083862304688,2002-12-04
559.989013671875,2002-12-05
558.6387939453125,2002-12-06
557.5142822265625,2002-12-09
555.332275390625,2002-12-10
555.8018188476562,2002-12-11
558.1290283203125,2002-12-12
562.0534057617188,2002-12-13
566.4314575195312,2002-12-16
564.133544921875,2002-12-17
555.0383911132812,2002-12-18
550.9981079101562,2002-12-19
553.8807373046875,2002-12-20
559.0878295898438,2002-12-23
564.2750244140625,2002-12-24
565.9016723632812,2002-12-26
560.7394409179688,2002-12-27
559.9545288085938,2002-12-30
560.851318359375,2002-12-31
560.053955078125,2003-01-02
565.0382080078125,2003-01-03
572.9491577148438,2003-01-06
574.2662353515625,2003-01-07
574.3728637695312,2003-01-08
578.841552734375,2003-01-09
578.841064453125,2003-01-10
576.8469848632812,2003-01-13
561.1129760742188,2003-01-14
553.775146484375,2003-01-15
545.6484985351562,2003-01-16
543.5571899414062,2003-01-17
545.3027954101562,2003-01-21
548.8272705078125,2003-01-22
550.7088623046875,2003-01-23
553.5896606445312,2003-01-24
557.0283813476562,2003-01-27
562.1296997070312,2003-01-28
562.7764282226562,2003-01-29
562.7122802734375,2003-01-30
558.4769897460938,2003-01-31
559.7474365234375,2003-02-03
557.6537475585938,2003-02-04
561.0777587890625,2003-02-05
562.058349609375,2003-02-06
556.8721923828125,2003-02-07
554.8408813476562,2003-02-10
553.1847534179688,2003-02-11
558.8905029296875,2003-02-12
562.302001953125,2003-02-13
560.0609130859375,2003-02-14
563.935791015625,2003-02-18
565.0408935546875,2003-02-19
565.7388916015625,2003-02-20
562.8907470703125,2003-02-21
563.142822265625,2003-02-24
564.8290405273438,2003-02-25
566.3206176757812,2003-02-26
568.6045532226562,2003-02-27
571.2803344726562,2003-02-28
571.9414672851562,2003-03-03
570.640625,2003-03-04
568.98681640625,2003-03-05
565.1314086914062,2003-03-06
560.5872802734375,2003-03-07
557.1801147460938,2003-03-10
558.5776977539062,2003-03-11
560.8731689453125,2003-03-12
560.3663940429688,2003-03-13
566.6444702148438,2003-03-14
570.1231689453125,2003-03-17
566.3640747070312,2003-03-18
562.9585571289062,2003-03-19
564.4221801757812,2003-03-20
564.7779541015625,2003-03-21
567.2083740234375,2003-03-24
567.2738037109375,2003-03-25
564.2013549804688,2003-03-26
564.40380859375,2003-03-27
565.122802734375,2003-03-28
570.4210205078125,2003-03-31
571.4956665039062,2003-04-01
568.7357788085938,2003-04-02
569.7025146484375,2003-04-03
576.0213623046875,2003-04-04
578.55712890625,2003-04-07
584.2451782226562,2003-04-08
589.1993408203125,2003-04-09
592.625244140625,2003-04-10
594.4024658203125,2003-04-11
592.0515747070312,2003-04-14
592.6643676757812,2003-04-15
597.535400390625,2003-04-16
600.1522827148438,2003-04-17
601.55419921875,2003-04-21
607.3428955078125,2003-04-22
605.8563842773438,2003-04-23
599.1619262695312,2003-04-24
593.2208862304688,2003-04-25
590.3260498046875,2003-04-28
591.2542724609375,2003-04-29
597.4567260742188,2003-04-30
608.1625366210938,2003-05-01
611.7655029296875,2003-05-02
613.6455078125,2003-05-05
614.3680419921875,2003-05-06
610.9989624023438,2003-05-07
613.1607666015625,2003-05-08
610.2109375,2003-05-09
620.7716674804688,2003-05-12
626.7870483398438,2003-05-13
628.3464965820312,2003-05-14
631.4554443359375,2003-05-15
636.7225341796875,2003-05-16
634.950439453125,2003-05-19
625.1077880859375,2003-05-20
621.89794921875,2003-05-21
624.5537109375,2003-05-22
622.2203979492188,2003-05-23
613.8707275390625,2003-05-27
611.8282470703125,2003-05-28
613.4598999023438,2003-05-29
611.2506713867188,2003-05-30
615.2051391601562,2003-06-02
608.0311889648438,2003-06-03
599.5953369140625,2003-06-04
598.4169311523438,2003-06-05
602.797119140625,2003-06-06
609.8677978515625,2003-06-09
616.4642333984375,2003-06-10
616.9622192382812,2003-06-11
620.6390991210938,2003-06-12
617.2687377929688,2003-06-13
610.5711059570312,2003-06-16
602.5740966796875,2003-06-17
603.3843383789062,2003-06-18
610.4465942382812,2003-06-19
617.139892578125,2003-06-20
617.9204711914062,2003-06-23
617.4248046875,2003-06-24
618.9982299804688,2003-06-25
624.024169921875,2003-06-26
625.90771484375,2003-06-27
618.3648071289062,2003-06-30
614.6552734375,2003-07-01
609.2805786132812,2003-07-02
610.845947265625,2003-07-03
614.7922973632812,2003-07-07
612.1693725585938,2003-07-08
607.772216796875,2003-07-09
603.551513671875,2003-07-10
602.286376953125,2003-07-11
604.3460083007812,2003-07-14
599.6309814453125,2003-07-15
586.590576171875,2003-07-16
575.074951171875,2003-07-17
570.1767578125,2003-07-18
562.339111328125,2003-07-21
553.8143920898438,2003-07-22
552.1694946289062,2003-07-23
552.7776489257812,2003-07-24
550.2852783203125,2003-07-25
544.1079711914062,2003-07-28
545.7200927734375,2003-07-29
546.1505737304688,2003-07-30
535.7037353515625,2003-07-31
530.258056640625,2003-08-01
529.7457275390625,2003-08-04
533.0557861328125,2003-08-05
537.3223876953125,2003-08-06
536.1942749023438,2003-08-07
537.486572265625,2003-08-08
537.931884765625,2003-08-11
547.5405883789062,2003-08-12
553.3941040039062,2003-08-13
557.5130615234375,2003-08-14
571.5035400390625,2003-08-15
552.9656982421875,2003-08-18
558.8596801757812,2003-08-19
566.9323120117188,2003-08-20
567.7244873046875,2003-08-21
571.7293701171875,2003-08-22
573.9577026367188,2003-08-25
577.3851928710938,2003-08-26
581.3005981445312,2003-08-27
574.948974609375,2003-08-28
574.6400756835938,2003-08-29
581.08349609375,2003-09-02
576.533935546875,2003-09-03
577.23046875,2003-09-04
591.8933715820312,2003-09-05
598.137939453125,2003-09-08
599.0695190429688,2003-09-09
626.9722900390625,2003-09-10
612.559326171875,2003-09-11
621.902587890625,2003-09-12
634.583740234375,2003-09-15
616.4629516601562,2003-09-16
606.2196655273438,2003-09-17
599.7599487304688,2003-09-18
605.9705810546875,2003-09-19
615.9765014648438,2003-09-22
630.1355590820312,2003-09-23
639.869873046875,2003-09-24
641.9391479492188,2003-09-25
643.3742065429688,2003-09-26
642.6904907226562,2003-09-29
651.5149536132812,2003-09-30
667.0289306640625,2003-10-01
670.5518188476562,2003-10-02
679.161376953125,2003-10-03
677.323486328125,2003-10-06
659.4165649414062,2003-10-07
662.4861450195312,2003-10-08
664.2202758789062,2003-10-09
663.970947265625,2003-10-10
680.7125244140625,2003-10-13
708.063232421875,2003-10-14
729.1531982421875,2003-10-15
725.4110107421875,2003-10-16
705.5346069335938,2003-10-17
700.0860595703125,2003-10-20
705.0123291015625,2003-10-21
705.7188110351562,2003-10-22
716.2736206054688,2003-10-23
740.8325805664062,2003-10-24
751.1361694335938,2003-10-27
749.9571533203125,2003-10-28
741.6869506835938,2003-10-29
767.2275390625,2003-10-30
780.366455078125,2003-10-31
774.7142944335938,2003-11-03
768.9330444335938,2003-11-04
748.0291137695312,2003-11-05
714.3094482421875,2003-11-06
727.86181640625,2003-11-07
721.2181396484375,2003-11-10
714.7354736328125,2003-11-11
743.569580078125,2003-11-12
763.9368896484375,2003-11-13
753.3193969726562,2003-11-14
742.5555419921875,2003-11-17
752.0857543945312,2003-11-18
753.0029296875,2003-11-19
740.9822387695312,2003-11-20
738.9964599609375,2003-11-21
750.5864868164062,2003-11-24
741.4015502929688,2003-11-25
739.017333984375,2003-11-26
740.2809448242188,2003-11-28
746.3536376953125,2003-12-01
759.9359130859375,2003-12-02
773.0088500976562,2003-12-03
780.8237915039062,2003-12-04
774.8360595703125,2003-12-05
761.0322265625,2003-12-08
759.1131591796875,2003-12-09
779.9688720703125,2003-12-10
783.8400268554688,2003-12-11
774.7616577148438,2003-12-12
766.1990356445312,2003-12-15
760.88671875,2003-12-16
752.0095825195312,2003-12-17
752.0368041992188,2003-12-18
744.550048828125,2003-12-19
749.5719604492188,2003-12-22
739.0658569335938,2003-12-23
723.943115234375,2003-12-24
721.1558837890625,2003-12-26
764.1407470703125,2003-12-29
785.1212158203125,2003-12-30
770.1483764648438,2003-12-31
759.9046630859375,2004-01-02
767.444580078125,2004-01-05
769.2271118164062,2004-01-06
772.7522583007812,2004-01-07
765.4124145507812,2004-01-08
758.5060424804688,2004-01-09
759.8550415039062,2004-01-12
767.8500366210938,2004-01-13
800.4146118164062,2004-01-14
813.8847045898438,2004-01-15
820.7080078125,2004-01-16
806.2501831054688,2004-01-20
799.6599731445312,2004-01-21
799.0955200195312,2004-01-22
813.825439453125,2004-01-23
810.8253173828125,2004-01-26
816.0269775390625,2004-01-27
